"X","BA","BE","GP","TI","SO","CT","CY","CL","SP","HO","Scope","Method","DevelopmentalStage","Study.Focus","Expt.Factors","Conservation.Relevance","Partner","FocalSpp","Focal.Fam","AB","SN","EI","BN","PD","PY","VL","IS","BP","EP","AR","DI","D2","EA","UT","PM","OA","HC","HP","DA","Expt.Factors.Stress","NumStress","Interaction","NumStressInt"
"Csaszar, NBM; Seneca, FO; van Oppen, MJH",NA,NA,NA,"Variation in antioxidant gene expression in the scleractinian coral Acropora millepora under laboratory thermal stress","MARINE ECOLOGY PROGRESS SERIES","","","","","","single organism","qRT-PCR","adult","moderate term stress;intercolony variation;intercolony variation","temperature",NA,"Coral host","Acropora millepora","Acroporidae","The effects of climate change over the last few decades have pushed the majority of reef-building corals close to their upper thermal limit. Upon exposure to thermal stress, the intracellular formation of harmful oxygen intermediates can lead to the disruption of the obligate symbiosis between the coral host and their dinoflagellate endosymbionts (zooxanthellae), a process known as coral bleaching. Applications of molecular techniques to cnidarian research have recently enhanced our understanding of the magnitude of corals' transcriptional response to various stressors. In the present study, we developed a quantitative real-time polymerase chain reaction assay to assess expression levels of 4 genes involved in the corals' oxidative stress response (HSP70, MnSOD, ferritin, Zn2+-metalloprotease) after exposure to laboratory-controlled thermal stress. Using the Indo-Pacific reef coral Acropora millepora, our study provides the first population-scale analysis of antioxidant gene expression in coral. Despite the significant up-regulation of those 4 genes in the thermally stressed samples relative to non-stressed samples, our results show that there is an enormous intraas well as inter-colony variation in transcript abundance at a particular point in time. We discuss the potential roles of ferritin and Zn2+-metalloprotease in the break down of the intra-cellular Fe2+-homeostasis and in coral host cell detachment, respectively, during bleaching conditions. Our results emphasise the importance of measuring inter-individual variation to gain an insight into the population response to a common and increasingly encountered environmental stressor.","0171-8630","1616-1599",NA,"",2009,392,"",93,"102","","10.3354/meps08194",NA,"","WOS:000271828700008",NA,NA,NA,NA,NA,"temperature",1,"none",1
"Skutnik, JE; Otieno, S; Khoo, SK; Strychar, KB",NA,NA,NA,"Examining the Effect of Heat Stress on Montastraea cavernosa (Linnaeus 1767) from a Mesophotic Coral Ecosystem (MCE)","WATER","","","","","","single organism","qRT-PCR","adult","short term stress;moderate term stress","temperature",NA,"Coral host","Montastraea cavernosa","Montastraeidae","Coral reefs are under increasing pressure from global warming. Little knowledge, however, exists regarding heat induced stress on deeper mesophotic coral ecosystems (MCEs). Here, we examined the effect of acute (72 h) and chronic (480 h) heat stress on the host coral Montastraea cavernosa (Linnaeus 1767) collected from an upper MCE (similar to 30 m) in Florida, USA. We examined six immune/stress-related genes: ribosomal protein L9 (RpL9), ribosomal protein S7 (RpS7), B-cell lymphoma 2 apoptosis regulator (BCL-2), heat shock protein 90 (HSP90), catalase, and cathepsin L1, as a proxy for coral response to heat stress. Quantitative real-time polymerase chain reaction (qRT-PCR) was performed to evaluate the gene expression. Overall, both acute and chronic heat stress treatments elicited a response in gene expression relative to control samples. Acute heat exposure resulted in up-regulation of catalase, BCL-2, and HSP90 at all time points from hour 24 to 48, suggesting the activation of an oxidative protective enzyme, molecular chaperone, and anti-apoptotic protein. Fewer genes were up-regulated in the chronic experiment until hour 288 (30 degrees C) where catalase, RpL9, and RpS7 were significantly up-regulated. Chronic heat exposure elicited a physiological response at 30 degrees C, which we propose as a heat-stress threshold for Montastraea cavernosa (M. cavernosa) collected from an MCE.","","2073-4441",NA,"MAY",2020,12,"5",NA,"","1303","10.3390/w12051303",NA,"","WOS:000555915200082",NA,NA,NA,NA,NA,"temperature",1,"none",1
"Dixon, GB; Bay, LK; Matz, MV",NA,NA,NA,"Bimodal signatures of germline methylation are linked with gene expression plasticity in the coral Acropora millepora","BMC GENOMICS","","","","","","single organism","tag-based RNAseq","adult","population comparison","temperature",NA,"Coral host","Acropora millepora","Acroporidae","Background: In invertebrates, genes belonging to dynamically regulated functional categories appear to be less methylated than ""housekeeping"" genes, suggesting that DNA methylation may modulate gene expression plasticity. To date, however, experimental evidence to support this hypothesis across different natural habitats has been lacking. Results: Gene expression profiles were generated from 30 pairs of genetically identical fragments of coral Acropora millepora reciprocally transplanted between distinct natural habitats for 3 months. Gene expression was analyzed in the context of normalized CpG content, a well-established signature of historical germline DNA methylation. Genes with weak methylation signatures were more likely to demonstrate differential expression based on both transplant environment and population of origin than genes with strong methylation signatures. Moreover, the magnitude of expression differences due to environment and population were greater for genes with weak methylation signatures. Conclusions: Our results support a connection between differential germline methylation and gene expression flexibility across environments and populations. Studies of phylogenetically basal invertebrates such as corals will further elucidate the fundamental functional aspects of gene body methylation in Metazoa.","1471-2164","",NA,"15-Dec",2014,15,"",NA,"","1109","10.1186/1471-2164-15-1109",NA,"","WOS:000347727500004",25511458,NA,NA,NA,NA,"temperature",1,"none",1
"Barshis, DJ; Ladner, JT; Oliver, TA; Seneca, FO; Traylor-Knowles, N; Palumbi, SR",NA,NA,NA,"Genomic basis for coral resilience to climate change","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","","","","","","single organism","shotgun RNAseq","adult","population comparison","temperature","inter-population variation","Coral host","Acropora hyacinthus","Acroporidae","Recent advances in DNA-sequencing technologies now allow for in-depth characterization of the genomic stress responses of many organisms beyond model taxa. They are especially appropriate for organisms such as reef-building corals, for which dramatic declines in abundance are expected to worsen as anthropogenic climate change intensifies. Different corals differ substantially in physiological resilience to environmental stress, but the molecular mechanisms behind enhanced coral resilience remain unclear. Here, we compare transcriptome-wide gene expression (via RNA-Seq using Illumina sequencing) among conspecific thermally sensitive and thermally resilient corals to identify the molecular pathways contributing to coral resilience. Under simulated bleaching stress, sensitive and resilient corals change expression of hundreds of genes, but the resilient corals had higher expression under control conditions across 60 of these genes. These ""frontloaded"" transcripts were less up-regulated in resilient corals during heat stress and included thermal tolerance genes such as heat shock proteins and antioxidant enzymes, as well as a broad array of genes involved in apoptosis regulation, tumor suppression, innate immune response, and cell adhesion. We propose that constitutive frontloading enables an individual to maintain physiological resilience during frequently encountered environmental stress, an idea that has strong parallels in model systems such as yeast. Our study provides broad insight into the fundamental cellular processes responsible for enhanced stress tolerances that may enable some organisms to better persist into the future in an era of global climate change.","0027-8424","",NA,"22-Jan",2013,110,"4",1387,"1392","","10.1073/pnas.1210224110",NA,"","WOS:000314453900053",23297204,NA,NA,NA,NA,"temperature",1,"none",1
"Bay, RA; Palumbi, SR",NA,NA,NA,"Rapid Acclimation Ability Mediated by Transcriptome Changes in Reef-Building Corals","GENOME BIOLOGY AND EVOLUTION","","","","","","single organism","shotgun RNAseq","adult","moderate term stress","temperature",NA,"Coral host","Acropora nana","Acroporidae","Population response to environmental variation involves adaptation, acclimation, or both. For long-lived organisms, acclimation likely generates a faster response but is only effective if the rates and limits of acclimation match the dynamics of local environmental variation. In coral reef habitats, heat stress from extreme ocean warming can occur over several weeks, resulting in symbiont expulsion and widespread coral death. However, transcriptome regulation during short-term acclimation is not well understood. We examined acclimation during a 11-day experiment in the coral Acropora nana. We acclimated colonies to three regimes: ambient temperature (29 degrees C), increased stable temperature (31 degrees C), and variable temperature (29-33 degrees C), mimicking local heat stress conditions. Within 7-11 days, individuals acclimated to increased temperatures had higher tolerance to acute heat stress. Despite physiological changes, no gene expression changes occurred during acclimation before acute heat stress. However, we found strikingly different transcriptional responses to heat stress between acclimation treatments across 893 contigs. Across these contigs, corals acclimated to higher temperatures (31 degrees C or 29-33 degrees C) exhibited a muted stress response-the magnitude of expression change before and after heat stress was less than in 29 degrees C acclimated corals. Our results show that corals have a rapid phase of acclimation that substantially increases their heat resilience within 7 days and that alters their transcriptional response to heat stress. This is in addition to a previously observed longer term response, distinguishable by its shift in baseline expression, under nonstressful conditions. Such rapid acclimation may provide some protection for this species of coral against slow onset of warming ocean temperatures.","1759-6653","",NA,"JUN",2015,7,"6",1602,"1612","","10.1093/gbe/evv085",NA,"","WOS:000358800100015",25979751,NA,NA,NA,NA,"temperature",1,"none",1
"Zhang, YD; Zhou, Z; Wang, LG; Huang, B",NA,NA,NA,"Transcriptome, expression, and activity analyses reveal a vital heat shock protein 70 in the stress response of stony coral Pocillopora damicornis","CELL STRESS & CHAPERONES","","","","","","single organism","shotgun RNAseq","adult","short term stress","temperature",NA,"Coral host","Pocillopora damicornis","Pocilloporidae","Coral bleaching occurs worldwide with increasing frequencies and intensities, which is caused by the stress response of stony coral to environmental change, especially increased sea surface temperature. In the present study, transcriptome, expression, and activity analyses were employed to illustrate the underlying molecular mechanisms of heat shock protein 70 (HSP70) in the stress response of coral to environmental changes. The domain analyses of assembled transcripts revealed 30 HSP70 gene contigs in stony coral Pocillopora damicornis. One crucial HSP70 (PdHSP70) was observed, whose expressions were induced by both elevated temperature and ammonium after expression difference analysis. The complete complementary DNA (cDNA) sequence of PdHSP70 was identified, which encoded a polypeptide of 650 amino acids with a molecular weight of 71.93 kDa. The deduced amino acid sequence of PdHSP70 contained a HSP70 domain (from Pro8 to Gly616), and it shared the highest similarity (95%) with HSP70 from Stylophora pistillata. The expression level of PdHSP70 gene increased significantly at 12 h, and returned to the initial level at 24 h after the stress of high temperature (32 A degrees C). The cDNA fragment encoding the mature peptide of PdHSP70 was recombined and expressed in the prokaryotic expression system. The ATPase activity of recombinant PdHSP70 protein was determined, and it did not change significantly in a wide range of temperature from 25 to 40 A degrees C. These results collectively suggested that PdHSP70 was a vital heat shock protein 70 in the stony coral P. damicornis, whose mRNA expression could be induced by diverse environmental stress and whose activity could remain stable under heat stress. PdHSP70 might be involved in the regulation of the bleaching owing to heat stress in the stony coral P. damicornis.","1355-8145","1466-1268",NA,"JUL",2018,23,"4",711,"721","","10.1007/s12192-018-0883-4",NA,"","WOS:000438691200024",29435724,NA,NA,NA,NA,"temperature",1,"none",1
"DeSalvo, MK; Sunagawa, S; Voolstra, CR; Medina, M",NA,NA,NA,"Transcriptomic responses to heat stress and bleaching in the elkhorn coral Acropora palmata","MARINE ECOLOGY PROGRESS SERIES","","","","","","single organism","microarray","adult","short term stress","temperature",NA,"Coral host","Acropora palmata","Acroporidae","The emergence of genomic tools for reef-building corals and symbiotic anemones comes at a time when alarming losses in coral cover are being observed worldwide. These tools hold great promise in elucidating novel and unforeseen cellular processes underlying the successful mutualism between corals and their dinoflagellate endosymbionts Symbiodinium spp. Since thermal stress triggers a breakdown in the symbiosis (coral bleaching), measuring the transcriptomic response to thermal stress-induced bleaching offers an extraordinary view of cellular processes that are specific to coral algal symbioses. In the present study, we utilized a cDNA microarray containing 2059 genes of the threatened Caribbean elkhorn coral Acropora palmata to identify genes that are differentially expressed upon thermal stress. Fragments from replicate colonies were exposed to elevated temperature for 2 d, and samples were frozen for microarray analysis after 24 and 48 h. Totals of 204 and 104 genes were differentially expressed in samples that were collected 1 and 2 d after thermal stress, respectively. Analysis of the differentially expressed genes indicates a cellular stress response in A. palmata involving (1) growth arrest, (2) chaperone activity, (3) nucleic acid stabilization and repair, and (4) removal of damaged macromolecules. Other differentially expressed processes include sensory perception, metabolite transfer between host and endosymbiont, nitric oxide signaling, and modifications to the actin cytoskeleton and extracellular matrix. The results are compared with those from a previous coral microarray study of thermal stress in Montastraea faveolata, and point to an overall evolutionary conserved bleaching response in scleractinian corals.","0171-8630","1616-1599",NA,"",2010,402,"",97,"113","","10.3354/meps08372",NA,"","WOS:000276021700008",NA,NA,NA,NA,NA,"temperature",1,"none",1
"Kvitt, H; Rosenfeld, H; Zandbank, K; Tchernov, D",NA,NA,NA,"Regulation of Apoptotic Pathways by Stylophora pistillata (Anthozoa, Pocilloporidae) to Survive Thermal Stress and Bleaching","PLOS ONE","","","","","","single organism","qRT-PCR","adult","short term stress","temperature",NA,"Coral host","Stylophora pistillata","Pocilloporidae","Elevated seawater temperatures are associated with coral bleaching events and related mortality. Nevertheless, some coral species are able to survive bleaching and recover. The apoptotic responses associated to this ability were studied over 3 years in the coral Stylophora pistillata from the Gulf of Eilat subjected to long term thermal stress. These include caspase activity and the expression profiles of the S. pistillata caspase and Bcl-2 genes (StyCasp and StyBcl-2-like) cloned in this study. In corals exposed to thermal stress (32 or 34 degrees C), caspase activity and the expression levels of the StyBcl-2-like gene increased over time (6-48 h) and declined to basal levels within 72 h of thermal stress. Distinct transcript levels were obtained for the StyCasp gene, with stimulated expression from 6 to 48 h of 34 degrees C thermal stress, coinciding with the onset of bleaching. Increased cell death was detected in situ only between 6 to 48 h of stress and was limited to the gastroderm. The bleached corals survived up to one month at 32 degrees C, and recovered back symbionts when placed at 24 degrees C. These results point to a two-stage response in corals that withstand thermal stress: (i) the onset of apoptosis, accompanied by rapid activation of antioxidant/anti-apoptotic mediators that block the progression of apoptosis to other cells and (ii) acclimatization of the coral to the chronic thermal stress alongside the completion of symbiosis breakdown. Accordingly, the coral's ability to rapidly curb apoptosis appears to be the most important trait affecting the coral's thermotolerance and survival.","1932-6203","",NA,"14-Dec",2011,6,"12",NA,"","e28665","10.1371/journal.pone.0028665",NA,"","WOS:000298369100074",22194880,NA,NA,NA,NA,"temperature",1,"none",1
"Ainsworth, TD; Wasmund, K; Ukani, L; Seneca, F; Yellowlees, D; Miller, D; Leggat, W",NA,NA,NA,"Defining the tipping point. A complex cellular life/death balance in corals in response to stress","SCIENTIFIC REPORTS","","","","","","single organism","qRT-PCR","adult","short term stress","temperature",NA,"Coral host","Acropora aspera","Acroporidae","Apoptotic cell death has been implicated in coral bleaching but the molecules involved and the mechanisms by which apoptosis is regulated are only now being identified. In contrast the mechanisms underlying apoptosis in higher animals are relatively well understood. To better understand the response of corals to thermal stress, the expression of coral homologs of six key regulators of apoptosis was studied in Acropora aspera under conditions simulating those of a mass bleaching event. Significant changes in expression were detected between the daily minimum and maximum temperatures. Maximum daily temperatures from as low as 3 degrees C below the bleaching threshold resulted in significant changes in both pro- and anti-apoptotic gene expression. The results suggest that the control of apoptosis is highly complex in this eukaryote-eukaryote endosymbiosis and that apoptotic cell death cascades potentially play key roles tipping the cellular life/death balance during environmental stress prior to the onset of coral bleaching.","2045-2322","",NA,"17-Nov",2011,1,"",NA,"","160","10.1038/srep00160",NA,"","WOS:000300558200001",22355675,NA,NA,NA,NA,"temperature",1,"none",1
"Hou, J; Xu, T; Su, DJ; Wu, Y; Cheng, L; Wang, J; Zhou, Z; Wang, Y",NA,NA,NA,"RNA-Seq Reveals Extensive Transcriptional Response to Heat Stress in the Stony Coral Galaxea fascicularis","FRONTIERS IN GENETICS","","","","","","single organism","shotgun RNAseq","adult","short term stress","temperature",NA,"Coral host","Galaxea fascicularis","Euphylliidae","Galaxea fascicularis, a stony coral belonging to family Oculinidae, is widely distributed in Red Sea, the Gulf of Aden and large areas of the Indo-Pacific oceans. So far there is a lack of gene expression knowledge concerning this massive coral. In the present study. G. fascicularis was subjected to heat stress at 32.0 +/- 0.5 degrees C in the lab, we found that the density of symbiotic zooxanthellae decreased significantly; meanwhile apparent bleaching and tissue lysing were observed at 10 h and 18 h after heat stress. The transcriptome responses were investigated in the stony coral G. fascicularis during heat bleaching using RNA-seq. A total of 42,028 coral genes were assembled from over 439 million reads. Gene expressions were compared at 10 and 18 h after heat stress. The significantly upregulated genes found in the Control_10h vs. Heat_10h comparison, presented mainly in GO terms related with DNA integration and unfolded protein response; and for the Control 18h vs. Heat 18h comparison, the GO terms include DNA integration. In addition, comparison between groups of Control_10h vs. Heat_10h and Control_18h vs. Heat_18h revealed that 125 genes were significantly upregulated in common between the two groups, whereas 21 genes were significantly downregulated in common, all these differentially expressed genes were found to be involved in stress response, DNA integration and unfolded protein response. Taken together, our results suggest that high temperature could activate the stress response at the early stage, and subsequently induce the bleaching and lysing through DNA integration and unfolded protein response, which are able to disrupt the balance of coral-zooxanthella symbiosis in the stony coral G. fascicularis.","1664-8021","",NA,"13-Feb",2018,9,"",NA,"","37","10.3389/fgene.2018.00037",NA,"","WOS:000424926800001",29487614,NA,NA,NA,NA,"temperature",1,"none",1
"Woo, S; Jeon, HY; Lee, J; Song, JI; Park, HS; Yum, S",NA,NA,NA,"Isolation of hyperthermal stress responsive genes in soft coral (Scleronephthya gracillimum)","MOLECULAR & CELLULAR TOXICOLOGY","","","","","","single organism","qRT-PCR","adult","short term stress","temperature","biomarker","Coral host","Scleronephthya gracillimum","Nephtheidae","The extensive isolation of genes responsive to hyperthermal stress conditions in soft coral (Scleronephthya gracillimum) is described. Soft coral colonies were exposed to high seawater temperature conditions. Gene candidates whose transcript levels changed in response to hyperthermal conditions were identified by differential display polymerase chain reaction (DD-PCR). Twenty-four types of candidate genes were identified, 18 of which were upregulated in expression and 6 of which were downregulated. The genes were found to function in post-translational modification, protein turnover and chaperones (O); translation, ribosomal structure and biogenesis (J); signal transduction mechanisms (T); defense mechanisms (V); inorganic ion transport and metabolism (P); energy production and conversion (C); cytoskeleton (Z); cell cycle control, cell division and chromosome partitioning (D); lipid transport and metabolism (I); chromatin structure and dynamics (B); transcription (K); replication, recombination and repair (L); secondary metabolites biosynthesis, transport and catabolism (Q); extracellular structures (W); general function prediction (R); and finally, unknown function (S) based on KOG classification. Among these candidates, their expressional changes were confirmed by real-time quantitative PCR (qRT-PCR). These 24 isolated gene candidates were differentially expressed and therefore have great potential as molecular biomarkers for the identification of environmental stressors.","1738-642X","2092-8467",NA,"31-Dec",2010,6,"4",387,"393","","10.1007/s13273-010-0051-0",NA,"","WOS:000285735500008",NA,NA,NA,NA,NA,"temperature",1,"none",1
"Lohelaid, H; Teder, T; Samel, N",NA,NA,NA,"Lipoxygenase-allene oxide synthase pathway in octocoral thermal stress response","CORAL REEFS","","","","","","single organism","qRT-PCR","adult","short term stress","temperature","biomarker","Coral host","Capnella imbricata","Nephtheidae","Marine ecosystems are sensitive to elevated seawater temperature, with stony corals serving as model organisms for temperature-imposed declines in population viability and diversity. Several stress markers, including heat shock proteins, have been used for the detection and prediction of stress responses in stony corals. However, the stress indicators in soft corals remain elusive. In higher animals and plants, oxylipins synthesized by fatty acid di- and monooxygenases contribute to stress-induced signaling; however, the role of eicosanoid pathways in corals remains unclear. The eicosanoid gene specific to corals encodes for a natural fusion protein of allene oxide synthase and lipoxygenase (AOS-LOX). In this work, using the easily cultivated soft coral Capnella imbricata as the stress response model, we monitored the expression of the AOS-LOX and the formation of arachidonic acid metabolites in response to an acute rise in water temperature. Gene expression profiles of two 70 kDa heat shock proteins (Hsps: Hsp70 and Grp78) were used as a positive control for the stress response. In comparison with normal seawater temperature (23 A degrees C), AOS-LOXa and Hsps were all up-regulated after modest (28 A degrees C) and severe (31 A degrees C) temperature elevation. While the up-regulation of AOS-LOXa and Grp78 was more sensitive to moderate temperature changes, Hsp70s were more responsive to severe heat shock. Concurrently, endogenous and exogenous AOS-LOXa-derived eicosanoids were up-regulated. Thus, together with the up-regulation of AOS-LOX by other abiotic and biotic stress stimuli, these data implicate AOS-LOX as part of the general stress response pathway in corals.","0722-4028","1432-0975",NA,"MAR",2015,34,"1",143,"154","","10.1007/s00338-014-1238-y",NA,"","WOS:000350031100019",NA,NA,NA,NA,NA,"temperature",1,"none",1
"Parkinson, JE; Banaszak, AT; Altman, NS; LaJeunesse, TC; Baums, IB",NA,NA,NA,"Intraspecific diversity among partners drives functional variation in coral symbioses","SCIENTIFIC REPORTS","","","","","","single organism","microarray","adult","short term stress","temperature","reef restoration technology","Coral host","Acropora palmata","Acroporidae","The capacity of coral-dinoflagellate mutualisms to adapt to a changing climate relies in part on standing variation in host and symbiont populations, but rarely have the interactions between symbiotic partners been considered at the level of individuals. Here, we tested the importance of inter-individual variation with respect to the physiology of coral holobionts. We identified six genetically distinct Acropora palmata coral colonies that all shared the same isoclonal Symbiodinium 'fitti' dinoflagellate strain. No other Symbiodinium could be detected in host tissues. We exposed fragments of each colony to extreme cold and found that the stress-induced change in symbiont photochemical efficiency varied up to 3.6-fold depending on host genetic background. The S. 'fitti' strain was least stressed when associating with hosts that significantly altered the expression of 184 genes under cold shock; it was most stressed in hosts that only adjusted 14 genes. Key expression differences among hosts were related to redox signaling and iron availability pathways. Fine-scale interactions among unique host colonies and symbiont strains provide an underappreciated source of raw material for natural selection in coral symbioses.","2045-2322","",NA,"26-Oct",2015,5,"",NA,"","15667","10.1038/srep15667",NA,"","WOS:000363409100001",26497873,NA,NA,NA,NA,"temperature",1,"none",1
"Zhou, Z; Wu, YB; Zhang, CK; Li, C; Chen, GM; Yu, XP; Shi, XW; Xu, YL; Wang, LG; Huang, B",NA,NA,NA,"Suppression of NF-kappa B signal pathway by NLRC3-like protein in stony coral Acropora aculeus under heat stress","FISH & SHELLFISH IMMUNOLOGY","","","","","","single organism","shotgun RNAseq","adult","short term stress","temperature",NA,"Coral host","Acropora aculeus","Acroporidae","Heat stress is the most common factor for coral bleaching, which has increased both in frequency and severity due to global warming. In the present study, the stony coral Acropora aculeus was subjected to acute heat stress and entire transcriptomes were sequenced via the next generation sequencing platform. Four paired-end libraries were constructed and sequenced in two groups, including a control and a heat stress group. A total of 120,319,751 paired-end reads with lengths of 2 x 100 bp were assembled and 55,021 coral-derived genes were obtained. After read mapping and abundance estimation, 9110 differentially expressed genes were obtained in the comparison between the control and heat stress group, including 4465 significantly upregulated and 4645 significantly downregulated genes. Twenty-three GO terms in the Biological Process category were overrepresented for significantly upregulated genes, and divided into six groups according to their relationship. These three groups were related to the NF-kappa B signal pathway, and the remaining three groups were relevant for pathogen response, immunocyte activation and protein ubiquitination. Forty-three common genes were found in four GO terms, which were directly related to the NF-kappa B signal pathway. These included 2 NACHT, LRR, PYD domains containing protein, 5 nucleotide-binding oligomerization domain-containing protein, 29 NLRC3-like protein, 4 NLRC5-like protein, and 3 uncharacterized protein. For significantly downregulated genes, 27 overrepresented GO terms were found in the Biological Process category, which were relevant to protein ubiquitination and ATP metabolism. Our results indicate that heat stress suppressed the immune response level via the NLRC3-like protein, the fine-tuning of protein turnover activity, and ATP metabolism. This might disrupt the balance of coral-zooxanthellae symbiosis and result in the bleaching of the coral A. aculeus. (C) 2017 Elsevier Ltd. All rights reserved.","1050-4648","1095-9947",NA,"AUG",2017,67,"",322,"330","","10.1016/j.fsi.2017.06.027",NA,"","WOS:000406726300034",28606864,NA,NA,NA,NA,"temperature",1,"none",1
"Csaszar, NBM; Ralph, PJ; Frankham, R; Berkelmans, R; van Oppen, MJH",NA,NA,NA,"Estimating the Potential for Adaptation of Corals to Climate Warming","PLOS ONE","","","","","","single organism","qRT-PCR","adult","moderate term stress","temperature",NA,"Coral host","Acropora millepora","Acroporidae","The persistence of tropical coral reefs is threatened by rapidly increasing climate warming, causing a functional breakdown of the obligate symbiosis between corals and their algal photosymbionts (Symbiodinium) through a process known as coral bleaching. Yet the potential of the coral-algal symbiosis to genetically adapt in an evolutionary sense to warming oceans is unknown. Using a quantitative genetics approach, we estimated the proportion of the variance in thermal tolerance traits that has a genetic basis (i.e. heritability) as a proxy for their adaptive potential in the widespread Indo-Pacific reef-building coral Acropora millepora. We chose two physiologically different populations that associate respectively with one thermo-tolerant (Symbiodinium clade D) and one less tolerant symbiont type (Symbiodinium C2). In both symbiont types, pulse amplitude modulated (PAM) fluorometry and high performance liquid chromatography (HPLC) analysis revealed significant heritabilities for traits related to both photosynthesis and photoprotective pigment profile. However, quantitative real-time polymerase chain reaction (qRT-PCR) assays showed a lack of heritability in both coral host populations for their own expression of fundamental stress genes. Coral colony growth, contributed to by both symbiotic partners, displayed heritability. High heritabilities for functional key traits of algal symbionts, along with their short clonal generation time and high population sizes allow for their rapid thermal adaptation. However, the low overall heritability of coral host traits, along with the corals' long generation time, raise concern about the timely adaptation of the coral-algal symbiosis in the face of continued rapid climate warming.","1932-6203","",NA,"18-Mar",2010,5,"3",NA,"","e9751","10.1371/journal.pone.0009751",NA,"","WOS:000276456300005",20305781,NA,NA,NA,NA,"temperature",1,"none",1
"Majerova, E; Carey, FC; Drury, C; Gates, RD",NA,NA,NA,"Preconditioning improves bleaching tolerance in the reef-building coral Pocillopora acuta through modulations in the programmed cell death pathways","MOLECULAR ECOLOGY","","","","","","single organism","qRT-PCR","adult","short term stress","temperature","reef restoration technology","Coral host","Pocillopora acuta","Pocilloporidae","Reef-building corals rely on intracellular algal symbionts to meet energetic demands. Increasing extreme weather driven by climate change often leads to disruption of this symbiosis and to coral death. Corals can better withstand stress after previous exposure to sublethal conditions, but the mechanisms for this resilience remain unclear. Here, we show that a three-day thermal preconditioning increases tolerance of acute heat stress through modulations in cell death pathways in the stony coral Pocillopora acuta. In preconditioned corals, the ratio of pro-survival (pa-Bcl-2 and pa-BI-1) to pro-death (pa-BAK and pa-BAX) gene expression increased and the corals underwent significantly less bleaching. When treated with Bcl-2 inhibitor, corals lost the improved thermal tolerance, suggesting an important role of programmed cell death in coral bleaching and acclimatization. During heat stress, the activity of acid phosphatase increased but caspase-3 did not, suggesting the involvement of autophagy/symbiophagy rather than apoptosis in this process. A similar shift in gene expression also occurs in thermally stressed corals that have been exposed to naturally higher temperatures during summer thermal maxima in KaneModified Letter Turned Commaohe Bay, HawaiModified Letter Turned Commai, suggesting that corals can increase their resilience to realistic warming events during high-risk periods through alterations in cell signalling. These data suggest that programmed cell death pathways underly coral acclimatization and resilience and may be important for coral reef conservation and management.","0962-1083","1365-294X",NA,"JUL",2021,30,"14",3560,"3574","","10.1111/mec.15988",NA,"Jun-21","WOS:000658315200001",34008873,NA,NA,NA,NA,"temperature",1,"none",1
"Onyango, CA; Glassom, D; MacDonald, A",NA,NA,NA,"De novo assembly of the transcriptome of scleractinian coral, Anomastraea irregularis and analyses of its response to thermal stress","MOLECULAR BIOLOGY REPORTS","","","","","","single organism","shotgun RNAseq","adult","short term stress","temperature",NA,"Coral host","Anomastraea irregularis","Coscinaraeidae","Rising seawater temperatures cause coral bleaching. The molecular responses of the coral holobiont under stress conditions, determine the success of the symbiosis. Anomastraea irregularis is a hard coral commonly found in the harsh intertidal zones of the south coast of KwaZulu-Natal (KZN), South Africa, where it thrives at the very margins of hard coral distribution in the Western Indian Ocean. To identify the possible molecular and cellular mechanisms underlying its resilience to heat stress, experimental and control nubbins were exposed to temperatures of 29 and 19 degrees C respectively for 24 h. The transcriptome was assembled de novo from 42.8 million quality controlled 63 bp paired-end short sequence reads obtained via RNA sequencing (RNA-seq). The assembly yielded 333,057 contigs (> 500 bp = 55,626, Largest = 6341 bp N-50 = 747 bp). 1362 (1.23%) of the transcripts were significantly differentially expressed between heat stressed and control samples. Log fold change magnitudes among individual genes ranged from - 4.6 to 7.2. Overall, the heat stress response in the A. irregularis constituted a protective response involving up regulation of apoptosis and SUMOylation. Gene ontology (GO) analyses revealed that heat stress in the coral affected the metabolism, protein synthesis, photosynthesis, transport and cytoskeleton. This is the first study to produce a reference transcriptome of this coral species and analyze its response to heat stress. The assembled transcriptome also presents a valuable resource for further transcriptomic and genomic studies.","0301-4851","1573-4978",NA,"MAR",2021,48,"3",2083,"2092","","10.1007/s11033-021-06184-5",NA,"Mar-21","WOS:000625078800003",33660094,NA,NA,NA,NA,"temperature",1,"none",1
